player_id,name,name_normalized,birth_date,nationality,position,foot,height_cm,weight_kg,source,source_id
sb_21397,Stole Dimitrievski,stole dimitrievski,,"Macedonia, Republic of",,,,,statsbomb,21397
sb_30322,Darko Churlinov,darko churlinov,,"Macedonia, Republic of",,,,,statsbomb,30322
sb_30512,Aleksandar Trajkovski,aleksandar trajkovski,,"Macedonia, Republic of",,,,,statsbomb,30512
sb_30644,Darko Velkovski,darko velkovski,,"Macedonia, Republic of",,,,,statsbomb,30644
sb_41836,Ferhan Hasani,ferhan hasani,,"Macedonia, Republic of",,,,,statsbomb,41836
sb_44229,Tihomir Kostadinov,tihomir kostadinov,,"Macedonia, Republic of",,,,,statsbomb,44229
sb_44962,Milan Ristovski,milan ristovski,,"Macedonia, Republic of",,,,,statsbomb,44962
sb_46906,Visar Musliu,visar musliu,,"Macedonia, Republic of",,,,,statsbomb,46906
sb_46908,Damjan Shishkovski,damjan shishkovski,,"Macedonia, Republic of",,,,,statsbomb,46908
sb_46909,Stefan Spirovski,stefan spirovski,,"Macedonia, Republic of",,,,,statsbomb,46909
sb_46910,Kire Ristevski,kire ristevski,,"Macedonia, Republic of",,,,,statsbomb,46910
sb_46913,Krste Velkoski,krste velkoski,,Europe,,,,,statsbomb,46913
sb_46915,Egzon Bejtulai,egzon bejtulai,,"Macedonia, Republic of",,,,,statsbomb,46915
sb_73852,Daniel Avramovski,daniel avramovski,,"Macedonia, Republic of",,,,,statsbomb,73852
sb_102733,Risto Jankov,risto jankov,,"Macedonia, Republic of",,,,,statsbomb,102733
sb_28051,Jakub Pešek,jakub pesek,,Czech Republic,,,,,statsbomb,28051
sb_3470,Dominic Calvert-Lewin,dominic calvert-lewin,,England,,,,,statsbomb,3470
sb_12423,Jadon Sancho,jadon sancho,,England,,,,,statsbomb,12423
sb_4872,Eduard Sobol,eduard sobol,,Ukraine,,,,,statsbomb,4872
sb_10997,Andriy Pyatov,andriy pyatov,,Ukraine,,,,,statsbomb,10997
sb_16311,Evgeny Makarenko,evgeny makarenko,,Ukraine,,,,,statsbomb,16311
sb_16811,Marlos Romero Bonfim,marlos romero bonfim,,Ukraine,,,,,statsbomb,16811
sb_18618,Serhiy Kryvtsov,serhiy kryvtsov,,Ukraine,,,,,statsbomb,18618
sb_23725,Roman Bezus,roman bezus,,Ukraine,,,,,statsbomb,23725
sb_31900,Oleksandr Karavaev,oleksandr karavaev,,Ukraine,,,,,statsbomb,31900
sb_7832,Marco Bizot,marco bizot,,Netherlands,,,,,statsbomb,7832
sb_8067,Joël Veltman,joel veltman,,Netherlands,,,,,statsbomb,8067
sb_13360,Quincy Anton Promes,quincy anton promes,,Netherlands,,,,,statsbomb,13360
sb_23869,Gjoko Zajkov,gjoko zajkov,,"Macedonia, Republic of",,,,,statsbomb,23869
sb_30262,Vlatko Stojanovski,vlatko stojanovski,,"Macedonia, Republic of",,,,,statsbomb,30262
sb_9550,Reece James,reece james,,England,,,,,statsbomb,9550
sb_18881,Artem Besedin,artem besedin,,Ukraine,,,,,statsbomb,18881
sb_29345,Mile Škorić,mile skoric,,Croatia,,,,,statsbomb,29345
sb_7015,Dennis Praet,dennis praet,,Belgium,,,,,statsbomb,7015
sb_8407,Ádám Szalai,adam szalai,,Hungary,,,,,statsbomb,8407
sb_10794,Gergő Lovrencsics,gergo lovrencsics,,Hungary,,,,,statsbomb,10794
sb_12723,Nemanja Nikolić,nemanja nikolic,,Hungary,,,,,statsbomb,12723
sb_22565,Szabolcs Schön,szabolcs schon,,Hungary,,,,,statsbomb,22565
sb_28970,Filip Holender,filip holender,,Hungary,,,,,statsbomb,28970
sb_28991,Ákos Kecskés,akos kecskes,,Hungary,,,,,statsbomb,28991
sb_31890,David Siger,david siger,,Hungary,,,,,statsbomb,31890
sb_32395,Roland Varga,roland varga,,Hungary,,,,,statsbomb,32395
sb_47435,Kevin Varga,kevin varga,,Hungary,,,,,statsbomb,47435
sb_3581,Ryan Fraser,ryan fraser,,Scotland,,,,,statsbomb,3581
sb_4563,John Fleck,john fleck,,Scotland,,,,,statsbomb,4563
sb_9048,Stephen O''Donnell,stephen o donnell,,Scotland,,,,,statsbomb,9048
sb_9645,David Marshall,david marshall,,Scotland,,,,,statsbomb,9645
sb_10526,Craig Gordon,craig gordon,,Scotland,,,,,statsbomb,10526
sb_10535,Declan Gallagher,declan gallagher,,Scotland,,,,,statsbomb,10535
sb_10774,Jon McLaughlin,jon mclaughlin,,Scotland,,,,,statsbomb,10774
sb_17694,David Turnbull,david turnbull,,Scotland,,,,,statsbomb,17694
sb_29571,Lyndon Dykes,lyndon dykes,,Scotland,,,,,statsbomb,29571
